Date	AAPL	BA	T	MGM	AMZN	IBM	TSLA	GOOG	sp500
1/14/2013	71.678574	76.550003	34.02	12.75	272.730011	192.619995	33.259998	360.274597	1470.680054
1/15/2013	69.417145	76.940002	33.759998	13.15	271.899994	192.5	33.900002	361.111481	1472.339966
1/16/2013	72.298569	74.339996	33.259998	12.98	268.929993	192.589996	34.099998	356.259644	1472.630005
1/17/2013	71.811432	75.260002	33.200001	12.96	270.480011	193.649994	34.380001	354.331879	1480.939941
1/18/2013	71.428574	75.040001	33.439999	12.89	272.119995	194.470001	34.52	350.939606	1485.97998
1/22/2013	72.110001	74.160004	33.610001	13.06	270.190002	196.080002	35.189999	350.12265	1492.560059
1/23/2013	73.43	74.290001	33.779999	12.94	268.109985	204.720001	36	369.36554	1494.810059
1/24/2013	64.35714	75.32	33.75	12.97	273.459991	204.419998	36.990002	375.696808	1494.819946
1/25/2013	62.84	75.029999	34.02	13	283.98999	204.970001	36.98	375.427795	1502.959961
1/28/2013	64.261429	74	34.130001	12.98	276.040009	204.929993	38.029999	373.963287	1500.180054
1/29/2013	65.46714	73.650002	34.68	12.62	260.350006	203.899994	37.950001	375.4328	1507.839966
1/30/2013	65.261429	74.589996	34.48	12.57	272.76001	203.520004	37.52	375.507507	1501.959961
1/31/2013	65.07	73.870003	34.790001	12.77	265.5	203.070007	37.509998	376.434021	1498.109985
2/1/2013	64.802856	74.870003	35.509998	12.96	265	205.179993	38.299999	386.351868	1513.170044
2/4/2013	63.188572	75.209999	35.23	12.77	259.980011	203.789993	37.740002	378.092804	1495.709961
2/5/2013	65.405716	75.889999	35.349998	12.97	266.890015	202.789993	38.130001	381.440277	1511.290039
2/6/2013	65.335716	76.290001	35.43	12.99	262.220001	201.020004	39.169998	383.647003	1512.119995
2/7/2013	66.888573	77.43	35.27	12.94	260.230011	199.740005	39.48	385.529938	1509.390015
2/8/2013	67.854286	76.559998	35.27	13.51	261.950012	201.679993	39.240002	391.218628	1517.930054
2/11/2013	68.561432	75.870003	35.23	13.05	257.209991	200.160004	38.419998	389.749115	1517.01001
2/12/2013	66.842857	75.989998	35.599998	13.32	258.700012	200.039993	37.889999	388.892334	1519.430054
